spCN,sp,tag,gx,gy,dbh,height
Ã«»¨Á¬Èï²è,CAMFRA,T25100401,484.1,180.6,1.5,2
Ï¸Ö¦èÚ,EURLOQ,T19070081,375.5,123.9,2.7,3.51
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T22050194,429.2,83.9,16.4,15.4
ÄÏËáÔæ,CHOAXI,T15190094,291,365,6.6,6.7
Ï¸Ö¦èÚ,EURLOQ,T21100305,415,185.3,2.6,2.25
Ï¸Ö¦èÚ,EURLOQ,T1213B1480,223.4,250.3,1.8,1.72
¿àèÀÄ¾,FRAINS,T20010066,395,7,24.7,12.4
ºì¶¾Üî,ILLLAN,T03040230,52.3,62,8.1,4.8
¿àèÀÄ¾,FRAINS,T1312B0353,240.1,224.5,5.9,4.6
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01130074,17.5,257.5,10.5,10.3
ºìéª,MACTHU,T04090176,73.4,176.2,3.3,3.9
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T08010223,158,13.7,2,2.4
Ï¸Ö¦èÚ,EURLOQ,T18050218,357.5,82.5,3.4,4.25
Ï¸Ö¦èÚ,EURLOQ,T01050051,4.2,90,2.5,4.07
Ã×éÆ,CASCAR,T07200118,136.2,386.7,11.3,7
Ã«»¨Á¬Èï²è,CAMFRA,T19050277,377.5,98.5,2.7,3.82
É½·¯,SYMSUM,T0216B01049,32,306,3.6,3.64
Ï¸Ö¦èÚ,EURLOQ,T18120084,355,231.8,4,4.58
Ï¸Ö¦èÚ,EURLOQ,T09060172,176.3,102.3,2.5,2.9
±¡Ò¶É½·¯,SYMANO,T14170089,271.1,322.5,3.8,4.63
Ï¸Ö¦èÚ,EURLOQ,T22010239,433.5,11.5,2.7,4.5
»ÆÅ£ÄÌÊ÷,SYMCOC,T22150096,430.5,289,2.4,3.4
ÔÆÉ½Çà¸Ô,CYCSES,T12190168,226.7,379.5,8.2,4.3
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T21120059,404.3,220.2,6.5,5.5
Ã«»¨Á¬Èï²è,CAMFRA,T06090225,111.8,163.2,2.1,2.7
¸Û¿Â,LITHAR,T08160275,157.3,312.8,25.9,25.3
Ï¸Ö¦èÚ,EURLOQ,T18040056,355,76.2,1.7,3.05
Ð¡Ò¶Çà¸Ô,CYCMYR,T13050193,252,92.9,12.1,11
ÔÆÉ½Çà¸Ô,CYCSES,T21060010,405,101,37.9,20.5
Ï¸Ö¦èÚ,EURLOQ,T16140068,310.2,268.8,4.8,3
»Æµ¤Ä¾½ª×Ó,LITELO,T12090003,238.7,161.3,10,16.2
ÔÆÉ½Çà¸Ô,CYCSES,T12180181,233.5,353.8,16.9,5
